learner_id,concept_id,concept_name,difficulty,days_since_last_review,quiz_accuracy,response_time,attempt_count,retention_label
L017,operating_systems,Operating Systems,0.6,19.0,0.189,7.59,4,0.038
L022,data_structures,Data Structures,0.4,15.0,0.01,9.39,5,0.098
L001,ml_fundamentals,ML Fundamentals,0.5,16.0,0.0,9.35,4,0.061
L028,ml_fundamentals,ML Fundamentals,0.5,0.0,1.0,15.55,1,1.0
L035,data_structures,Data Structures,0.4,9.0,0.24,15.19,1,0.155
L012,probability_and_statistics,Probability & Statistics,0.65,0.0,0.841,19.22,1,0.935
L039,dbms_normalization,DBMS Normalization,0.7,5.0,0.013,19.2,1,0.046
L034,neural_networks,Neural Networks,0.6,9.0,0.308,12.52,1,0.205
L004,discrete_mathematics,Discrete Mathematics,0.55,17.0,0.0,11.75,4,0.051
L021,computer_architecture,Computer Architecture,0.5,11.0,0.075,10.84,1,0.031
L019,neural_networks,Neural Networks,0.6,8.0,0.124,13.46,1,0.177
L022,software_engineering,Software Engineering,0.4,19.0,0.143,15.85,3,0.02
L017,algorithm_design,Algorithm Design,0.5,5.0,0.482,19.46,4,0.445
L028,computer_networks,Computer Networks,0.55,2.0,0.759,15.58,1,0.8
L025,oop_concepts,OOP Concepts,0.35,8.0,0.247,15.36,4,0.234
L038,probability_and_statistics,Probability & Statistics,0.65,20.0,0.155,14.73,1,0.055
L004,algorithm_design,Algorithm Design,0.5,12.0,0.124,13.86,4,0.14
L010,software_engineering,Software Engineering,0.4,4.0,0.785,14.43,3,0.588
L033,neural_networks,Neural Networks,0.6,2.0,0.601,15.37,5,0.576
L010,ml_fundamentals,ML Fundamentals,0.5,8.0,0.187,17.45,3,0.188
L033,data_structures,Data Structures,0.4,12.0,0.195,13.17,2,0.028
L037,data_structures,Data Structures,0.4,15.0,0.087,19.86,5,0.0
L027,operating_systems,Operating Systems,0.6,11.0,0.035,25.28,5,0.0
L031,neural_networks,Neural Networks,0.6,16.0,0.0,16.0,2,0.04
L031,algorithm_design,Algorithm Design,0.5,15.0,0.206,18.59,1,0.027
L009,discrete_mathematics,Discrete Mathematics,0.55,14.0,0.065,20.92,1,0.174
L034,software_engineering,Software Engineering,0.4,10.0,0.13,12.95,3,0.183
L038,data_structures,Data Structures,0.4,4.0,0.471,12.24,2,0.259
L001,operating_systems,Operating Systems,0.6,18.0,0.0,16.59,5,0.0
L032,software_engineering,Software Engineering,0.4,15.0,0.144,17.23,2,0.11
L014,oop_concepts,OOP Concepts,0.35,15.0,0.088,13.75,5,0.074
L005,discrete_mathematics,Discrete Mathematics,0.55,12.0,0.0,13.24,3,0.015
L040,computer_architecture,Computer Architecture,0.5,8.0,0.265,18.6,1,0.198
L025,computer_architecture,Computer Architecture,0.5,9.0,0.198,9.21,2,0.217
L007,neural_networks,Neural Networks,0.6,15.0,0.129,20.94,5,0.016
L027,discrete_mathematics,Discrete Mathematics,0.55,6.0,0.0,14.12,5,0.06
L021,neural_networks,Neural Networks,0.6,14.0,0.133,16.54,3,0.0
L007,ml_fundamentals,ML Fundamentals,0.5,21.0,0.0,13.3,4,0.0
L021,software_engineering,Software Engineering,0.4,19.0,0.0,15.37,5,0.055
L003,software_engineering,Software Engineering,0.4,4.0,0.631,11.85,3,0.626
L010,data_structures,Data Structures,0.4,20.0,0.025,10.26,1,0.0
L027,software_engineering,Software Engineering,0.4,16.0,0.061,17.26,4,0.011
L005,probability_and_statistics,Probability & Statistics,0.65,9.0,0.0,16.98,1,0.072
L031,computer_networks,Computer Networks,0.55,13.0,0.0,11.14,4,0.12
L032,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.001,14.06,3,0.014
L035,dbms_normalization,DBMS Normalization,0.7,14.0,0.079,10.22,2,0.125
L026,ml_fundamentals,ML Fundamentals,0.5,11.0,0.0,17.46,1,0.1
L020,discrete_mathematics,Discrete Mathematics,0.55,7.0,0.264,21.97,1,0.382
L023,data_structures,Data Structures,0.4,21.0,0.0,19.25,4,0.0
L039,software_engineering,Software Engineering,0.4,21.0,0.0,14.07,2,0.0
L036,discrete_mathematics,Discrete Mathematics,0.55,21.0,0.026,18.44,4,0.0
L035,dbms_normalization,DBMS Normalization,0.7,3.0,0.506,25.73,1,0.492
L024,software_engineering,Software Engineering,0.4,18.0,0.034,19.41,3,0.054
L019,dbms_normalization,DBMS Normalization,0.7,7.0,0.136,14.36,1,0.186
L038,oop_concepts,OOP Concepts,0.35,20.0,0.01,10.79,5,0.0
L023,data_structures,Data Structures,0.4,5.0,0.341,18.85,3,0.309
L026,computer_networks,Computer Networks,0.55,19.0,0.082,11.66,4,0.026
L010,computer_networks,Computer Networks,0.55,6.0,0.261,11.16,1,0.252
L011,oop_concepts,OOP Concepts,0.35,9.0,0.061,12.7,3,0.138
L010,ml_fundamentals,ML Fundamentals,0.5,20.0,0.117,11.31,3,0.014
L010,computer_architecture,Computer Architecture,0.5,10.0,0.068,16.79,3,0.091
L013,operating_systems,Operating Systems,0.6,1.0,0.859,18.71,1,0.713
L029,probability_and_statistics,Probability & Statistics,0.65,1.0,0.66,11.82,3,0.813
L012,discrete_mathematics,Discrete Mathematics,0.55,10.0,0.151,13.81,1,0.223
L010,computer_architecture,Computer Architecture,0.5,21.0,0.095,22.14,4,0.0
L006,ml_fundamentals,ML Fundamentals,0.5,2.0,0.758,20.0,4,0.744
L033,data_structures,Data Structures,0.4,16.0,0.038,14.73,2,0.018
L034,neural_networks,Neural Networks,0.6,18.0,0.16,16.62,2,0.052
L032,operating_systems,Operating Systems,0.6,1.0,0.585,15.84,1,0.687
L037,data_structures,Data Structures,0.4,12.0,0.25,14.45,3,0.232
L017,algorithm_design,Algorithm Design,0.5,4.0,0.239,12.02,2,0.365
L014,probability_and_statistics,Probability & Statistics,0.65,4.0,0.154,19.88,1,0.121
L034,ml_fundamentals,ML Fundamentals,0.5,4.0,0.397,16.38,3,0.431
L031,algorithm_design,Algorithm Design,0.5,15.0,0.063,13.72,5,0.035
L002,software_engineering,Software Engineering,0.4,9.0,0.265,11.89,3,0.22
L007,neural_networks,Neural Networks,0.6,7.0,0.313,13.68,5,0.14
L014,oop_concepts,OOP Concepts,0.35,14.0,0.028,14.22,5,0.098
L027,neural_networks,Neural Networks,0.6,20.0,0.0,11.09,3,0.0
L035,software_engineering,Software Engineering,0.4,0.0,0.973,21.75,2,1.0
L040,computer_networks,Computer Networks,0.55,20.0,0.078,15.82,5,0.207
L023,algorithm_design,Algorithm Design,0.5,0.0,0.961,13.55,4,1.0
L014,computer_networks,Computer Networks,0.55,16.0,0.071,16.65,1,0.0
L001,computer_architecture,Computer Architecture,0.5,4.0,0.358,14.77,1,0.316
L020,dbms_normalization,DBMS Normalization,0.7,10.0,0.0,13.86,3,0.015
L001,oop_concepts,OOP Concepts,0.35,5.0,0.351,6.53,4,0.507
L006,ml_fundamentals,ML Fundamentals,0.5,6.0,0.368,15.9,5,0.237
L015,computer_architecture,Computer Architecture,0.5,9.0,0.053,19.98,1,0.0
L033,discrete_mathematics,Discrete Mathematics,0.55,8.0,0.105,13.67,3,0.086
L005,discrete_mathematics,Discrete Mathematics,0.55,11.0,0.0,17.22,4,0.07
L005,software_engineering,Software Engineering,0.4,0.0,1.0,11.91,2,0.989
L030,operating_systems,Operating Systems,0.6,3.0,0.511,12.59,5,0.507
L008,dbms_normalization,DBMS Normalization,0.7,2.0,0.662,21.95,5,0.688
L014,dbms_normalization,DBMS Normalization,0.7,0.0,0.954,16.68,5,0.992
L012,oop_concepts,OOP Concepts,0.35,8.0,0.287,13.17,3,0.281
L008,computer_architecture,Computer Architecture,0.5,18.0,0.107,16.24,5,0.002
L007,ml_fundamentals,ML Fundamentals,0.5,8.0,0.342,15.85,1,0.296
L003,oop_concepts,OOP Concepts,0.35,11.0,0.0,15.44,3,0.22
L033,neural_networks,Neural Networks,0.6,18.0,0.0,17.51,1,0.0
L038,computer_networks,Computer Networks,0.55,14.0,0.061,15.29,4,0.109
L009,computer_architecture,Computer Architecture,0.5,6.0,0.097,14.86,4,0.193
L036,data_structures,Data Structures,0.4,17.0,0.083,13.27,1,0.103
L007,computer_architecture,Computer Architecture,0.5,9.0,0.061,19.42,4,0.023
L003,oop_concepts,OOP Concepts,0.35,11.0,0.269,15.02,2,0.229
L024,data_structures,Data Structures,0.4,6.0,0.21,13.19,5,0.292
L015,computer_architecture,Computer Architecture,0.5,16.0,0.135,14.56,4,0.145
L024,algorithm_design,Algorithm Design,0.5,7.0,0.199,14.76,3,0.237
L019,oop_concepts,OOP Concepts,0.35,18.0,0.033,16.78,1,0.101
L013,data_structures,Data Structures,0.4,17.0,0.0,12.4,1,0.0
L037,neural_networks,Neural Networks,0.6,19.0,0.059,14.25,2,0.026
L037,discrete_mathematics,Discrete Mathematics,0.55,21.0,0.0,6.87,3,0.0
L030,ml_fundamentals,ML Fundamentals,0.5,1.0,0.835,19.75,2,0.794
L022,data_structures,Data Structures,0.4,15.0,0.016,18.34,5,0.101
L034,discrete_mathematics,Discrete Mathematics,0.55,18.0,0.013,18.09,3,0.0
L033,dbms_normalization,DBMS Normalization,0.7,20.0,0.035,12.38,5,0.0
L040,software_engineering,Software Engineering,0.4,2.0,0.839,8.89,3,0.729
L026,ml_fundamentals,ML Fundamentals,0.5,10.0,0.259,14.39,3,0.12
L012,discrete_mathematics,Discrete Mathematics,0.55,8.0,0.153,11.01,1,0.189
L010,operating_systems,Operating Systems,0.6,13.0,0.0,14.68,1,0.0
L038,operating_systems,Operating Systems,0.6,8.0,0.353,13.25,4,0.251
L038,operating_systems,Operating Systems,0.6,5.0,0.298,16.04,2,0.261
L029,software_engineering,Software Engineering,0.4,3.0,0.643,12.02,3,0.682
L032,probability_and_statistics,Probability & Statistics,0.65,0.0,1.0,15.63,5,1.0
L005,computer_architecture,Computer Architecture,0.5,6.0,0.445,17.46,3,0.423
L031,computer_networks,Computer Networks,0.55,14.0,0.177,12.12,5,0.115
L010,neural_networks,Neural Networks,0.6,3.0,0.45,14.64,3,0.446
L037,operating_systems,Operating Systems,0.6,6.0,0.222,11.65,3,0.186
L004,oop_concepts,OOP Concepts,0.35,2.0,0.867,13.02,1,0.72
L002,operating_systems,Operating Systems,0.6,5.0,0.0,14.55,5,0.105
L017,computer_networks,Computer Networks,0.55,12.0,0.13,15.45,2,0.138
L029,oop_concepts,OOP Concepts,0.35,9.0,0.09,11.93,2,0.123
L031,operating_systems,Operating Systems,0.6,3.0,0.443,19.72,1,0.477
L035,operating_systems,Operating Systems,0.6,3.0,0.406,16.04,3,0.479
L039,discrete_mathematics,Discrete Mathematics,0.55,13.0,0.0,13.85,2,0.0
L001,algorithm_design,Algorithm Design,0.5,8.0,0.1,22.21,5,0.115
L038,probability_and_statistics,Probability & Statistics,0.65,13.0,0.0,11.91,2,0.0
L014,algorithm_design,Algorithm Design,0.5,16.0,0.0,16.67,2,0.088
L026,neural_networks,Neural Networks,0.6,7.0,0.204,10.09,1,0.248
L032,dbms_normalization,DBMS Normalization,0.7,2.0,0.473,20.23,3,0.531
L014,dbms_normalization,DBMS Normalization,0.7,10.0,0.273,12.49,1,0.101
L017,dbms_normalization,DBMS Normalization,0.7,11.0,0.0,15.79,1,0.0
L014,computer_networks,Computer Networks,0.55,11.0,0.112,16.49,2,0.017
L033,discrete_mathematics,Discrete Mathematics,0.55,15.0,0.0,9.79,1,0.0
L017,operating_systems,Operating Systems,0.6,21.0,0.056,20.76,4,0.062
L018,data_structures,Data Structures,0.4,1.0,0.905,12.09,2,0.888
L037,dbms_normalization,DBMS Normalization,0.7,7.0,0.041,16.55,3,0.0
L019,operating_systems,Operating Systems,0.6,4.0,0.528,21.81,1,0.376
L024,computer_networks,Computer Networks,0.55,9.0,0.064,15.57,3,0.007
L030,computer_networks,Computer Networks,0.55,5.0,0.086,21.37,3,0.164
L015,algorithm_design,Algorithm Design,0.5,21.0,0.146,14.85,2,0.0
L021,neural_networks,Neural Networks,0.6,18.0,0.009,13.81,2,0.007
L022,software_engineering,Software Engineering,0.4,3.0,0.766,16.77,3,0.716
L034,computer_networks,Computer Networks,0.55,20.0,0.0,15.39,3,0.099
L037,algorithm_design,Algorithm Design,0.5,7.0,0.067,6.32,4,0.268
L019,data_structures,Data Structures,0.4,20.0,0.202,14.31,2,0.083
L003,ml_fundamentals,ML Fundamentals,0.5,9.0,0.154,6.48,4,0.176
L004,computer_architecture,Computer Architecture,0.5,18.0,0.018,11.14,1,0.0
L016,software_engineering,Software Engineering,0.4,5.0,0.405,4.48,3,0.546
L038,computer_networks,Computer Networks,0.55,2.0,0.559,18.52,1,0.633
L029,ml_fundamentals,ML Fundamentals,0.5,1.0,0.752,16.5,1,0.93
L024,operating_systems,Operating Systems,0.6,2.0,0.566,9.35,2,0.597
L039,algorithm_design,Algorithm Design,0.5,9.0,0.0,17.97,1,0.001
L021,computer_architecture,Computer Architecture,0.5,4.0,0.509,22.44,5,0.505
L040,discrete_mathematics,Discrete Mathematics,0.55,7.0,0.227,17.01,3,0.166
L015,computer_architecture,Computer Architecture,0.5,14.0,0.238,12.07,1,0.16
L016,data_structures,Data Structures,0.4,16.0,0.244,15.81,5,0.114
L029,algorithm_design,Algorithm Design,0.5,19.0,0.0,13.98,3,0.059
L007,computer_architecture,Computer Architecture,0.5,17.0,0.0,16.51,1,0.126
L027,discrete_mathematics,Discrete Mathematics,0.55,11.0,0.175,18.62,5,0.063
L026,operating_systems,Operating Systems,0.6,6.0,0.282,16.31,3,0.332
L018,neural_networks,Neural Networks,0.6,10.0,0.0,14.94,3,0.006
L005,operating_systems,Operating Systems,0.6,12.0,0.0,11.94,4,0.086
L004,data_structures,Data Structures,0.4,18.0,0.112,21.85,2,0.055
L027,computer_architecture,Computer Architecture,0.5,0.0,0.984,13.7,2,0.975
L006,dbms_normalization,DBMS Normalization,0.7,8.0,0.123,18.81,5,0.15
L021,software_engineering,Software Engineering,0.4,14.0,0.309,19.44,5,0.157
L019,dbms_normalization,DBMS Normalization,0.7,13.0,0.028,16.31,5,0.035
L017,dbms_normalization,DBMS Normalization,0.7,4.0,0.491,12.55,4,0.472
L031,neural_networks,Neural Networks,0.6,15.0,0.0,11.88,5,0.0
L022,algorithm_design,Algorithm Design,0.5,20.0,0.0,3.18,3,0.073
L037,oop_concepts,OOP Concepts,0.35,16.0,0.088,19.85,3,0.114
L024,computer_architecture,Computer Architecture,0.5,10.0,0.205,12.63,5,0.256
L029,probability_and_statistics,Probability & Statistics,0.65,19.0,0.186,15.44,3,0.006
L013,computer_networks,Computer Networks,0.55,17.0,0.0,12.4,4,0.055
L026,software_engineering,Software Engineering,0.4,1.0,0.733,8.96,4,0.759
L014,operating_systems,Operating Systems,0.6,8.0,0.209,6.56,4,0.216
L023,operating_systems,Operating Systems,0.6,17.0,0.037,22.42,1,0.029
L008,discrete_mathematics,Discrete Mathematics,0.55,3.0,0.612,12.06,4,0.473
L033,operating_systems,Operating Systems,0.6,5.0,0.256,15.51,2,0.252
L006,data_structures,Data Structures,0.4,5.0,0.4,9.8,4,0.284
L018,software_engineering,Software Engineering,0.4,7.0,0.247,15.72,2,0.289
L029,dbms_normalization,DBMS Normalization,0.7,3.0,0.367,16.73,2,0.389
L029,ml_fundamentals,ML Fundamentals,0.5,19.0,0.0,15.84,2,0.066
L026,probability_and_statistics,Probability & Statistics,0.65,13.0,0.0,4.9,5,0.0
L021,software_engineering,Software Engineering,0.4,16.0,0.0,13.72,1,0.142
L020,computer_networks,Computer Networks,0.55,16.0,0.198,10.64,3,0.0
L008,software_engineering,Software Engineering,0.4,16.0,0.0,20.47,5,0.06
L006,computer_networks,Computer Networks,0.55,18.0,0.0,14.35,4,0.0
L025,ml_fundamentals,ML Fundamentals,0.5,4.0,0.435,12.1,1,0.463
L003,discrete_mathematics,Discrete Mathematics,0.55,14.0,0.089,18.39,1,0.017
L037,discrete_mathematics,Discrete Mathematics,0.55,6.0,0.201,10.71,4,0.245
L014,computer_architecture,Computer Architecture,0.5,0.0,1.0,8.65,3,0.989
L025,software_engineering,Software Engineering,0.4,16.0,0.071,9.35,5,0.12
L015,computer_architecture,Computer Architecture,0.5,4.0,0.522,14.39,2,0.443
L006,computer_networks,Computer Networks,0.55,3.0,0.23,19.07,2,0.286
L018,oop_concepts,OOP Concepts,0.35,11.0,0.132,11.18,4,0.124
L027,computer_networks,Computer Networks,0.55,1.0,0.807,11.03,2,0.868
L017,oop_concepts,OOP Concepts,0.35,3.0,0.575,19.53,1,0.545
L009,discrete_mathematics,Discrete Mathematics,0.55,14.0,0.028,14.29,2,0.035
L001,computer_architecture,Computer Architecture,0.5,20.0,0.055,7.89,2,0.0
L004,operating_systems,Operating Systems,0.6,9.0,0.124,20.3,4,0.165
L010,discrete_mathematics,Discrete Mathematics,0.55,11.0,0.082,19.61,1,0.138
L022,software_engineering,Software Engineering,0.4,2.0,0.574,18.74,4,0.764
L003,discrete_mathematics,Discrete Mathematics,0.55,21.0,0.0,17.31,4,0.04
L040,dbms_normalization,DBMS Normalization,0.7,14.0,0.0,20.88,3,0.0
L039,discrete_mathematics,Discrete Mathematics,0.55,17.0,0.041,13.76,4,0.0
L014,software_engineering,Software Engineering,0.4,0.0,1.0,14.91,4,0.945
L015,probability_and_statistics,Probability & Statistics,0.65,1.0,0.856,13.12,5,0.838
L004,ml_fundamentals,ML Fundamentals,0.5,13.0,0.055,8.61,2,0.066
L010,software_engineering,Software Engineering,0.4,5.0,0.234,15.86,4,0.278
L019,dbms_normalization,DBMS Normalization,0.7,7.0,0.0,21.11,3,0.051
L033,discrete_mathematics,Discrete Mathematics,0.55,18.0,0.0,18.79,2,0.0
L021,discrete_mathematics,Discrete Mathematics,0.55,6.0,0.174,16.94,2,0.33
L032,dbms_normalization,DBMS Normalization,0.7,7.0,0.127,14.23,5,0.0
L038,algorithm_design,Algorithm Design,0.5,2.0,0.842,16.04,3,0.752
L034,software_engineering,Software Engineering,0.4,21.0,0.0,13.95,3,0.008
L028,computer_architecture,Computer Architecture,0.5,18.0,0.1,9.65,1,0.0
L016,data_structures,Data Structures,0.4,1.0,0.811,14.79,1,0.86
L004,software_engineering,Software Engineering,0.4,9.0,0.208,14.28,5,0.154
L017,oop_concepts,OOP Concepts,0.35,3.0,0.608,13.34,3,0.679
L017,operating_systems,Operating Systems,0.6,17.0,0.106,10.35,5,0.014
L036,data_structures,Data Structures,0.4,4.0,0.472,17.97,2,0.503
L005,ml_fundamentals,ML Fundamentals,0.5,5.0,0.451,17.52,2,0.428
L007,probability_and_statistics,Probability & Statistics,0.65,7.0,0.091,12.79,4,0.089
L031,oop_concepts,OOP Concepts,0.35,9.0,0.168,17.47,1,0.382
L031,dbms_normalization,DBMS Normalization,0.7,10.0,0.0,16.49,3,0.108
L004,probability_and_statistics,Probability & Statistics,0.65,20.0,0.0,16.74,3,0.079
L005,data_structures,Data Structures,0.4,14.0,0.156,10.47,3,0.162
L039,computer_architecture,Computer Architecture,0.5,12.0,0.0,19.06,1,0.02
L026,oop_concepts,OOP Concepts,0.35,11.0,0.14,12.8,4,0.159
L005,computer_architecture,Computer Architecture,0.5,8.0,0.143,16.77,4,0.146
L012,software_engineering,Software Engineering,0.4,5.0,0.262,14.4,5,0.306
L015,computer_architecture,Computer Architecture,0.5,15.0,0.017,14.97,2,0.0
L031,computer_architecture,Computer Architecture,0.5,2.0,0.553,13.96,3,0.76
L013,dbms_normalization,DBMS Normalization,0.7,14.0,0.093,18.9,5,0.102
L018,computer_architecture,Computer Architecture,0.5,12.0,0.0,15.23,4,0.1
L004,algorithm_design,Algorithm Design,0.5,12.0,0.214,13.97,4,0.05
L017,ml_fundamentals,ML Fundamentals,0.5,9.0,0.061,9.01,1,0.064
L005,software_engineering,Software Engineering,0.4,3.0,0.474,17.05,1,0.537
L036,ml_fundamentals,ML Fundamentals,0.5,0.0,0.987,12.23,1,1.0
L005,operating_systems,Operating Systems,0.6,5.0,0.229,11.26,3,0.167
L026,discrete_mathematics,Discrete Mathematics,0.55,12.0,0.048,18.01,1,0.089
L036,dbms_normalization,DBMS Normalization,0.7,3.0,0.19,11.42,4,0.184
L023,ml_fundamentals,ML Fundamentals,0.5,16.0,0.165,8.5,2,0.178
L020,neural_networks,Neural Networks,0.6,7.0,0.098,16.67,3,0.193
L021,software_engineering,Software Engineering,0.4,1.0,0.769,11.27,1,0.753
L008,data_structures,Data Structures,0.4,12.0,0.068,16.21,3,0.05
L023,computer_architecture,Computer Architecture,0.5,13.0,0.176,14.48,5,0.068
L021,data_structures,Data Structures,0.4,15.0,0.026,16.14,5,0.114
L032,data_structures,Data Structures,0.4,1.0,0.621,3.0,4,0.722
L021,operating_systems,Operating Systems,0.6,15.0,0.0,19.71,1,0.058
L029,algorithm_design,Algorithm Design,0.5,20.0,0.073,10.93,5,0.04
L016,dbms_normalization,DBMS Normalization,0.7,13.0,0.0,21.37,5,0.086
L027,computer_networks,Computer Networks,0.55,17.0,0.0,12.09,2,0.009
L004,neural_networks,Neural Networks,0.6,11.0,0.0,8.39,1,0.0
L013,data_structures,Data Structures,0.4,16.0,0.007,15.38,4,0.116
L030,algorithm_design,Algorithm Design,0.5,0.0,0.977,10.19,3,0.971
L015,discrete_mathematics,Discrete Mathematics,0.55,6.0,0.142,14.36,1,0.225
L022,ml_fundamentals,ML Fundamentals,0.5,4.0,0.423,18.19,3,0.426
L018,data_structures,Data Structures,0.4,6.0,0.322,17.48,2,0.485
L019,dbms_normalization,DBMS Normalization,0.7,7.0,0.144,13.96,2,0.129
L009,probability_and_statistics,Probability & Statistics,0.65,13.0,0.0,12.83,3,0.0
L004,software_engineering,Software Engineering,0.4,7.0,0.356,18.26,1,0.369
L031,software_engineering,Software Engineering,0.4,5.0,0.392,23.26,5,0.395
L039,algorithm_design,Algorithm Design,0.5,17.0,0.033,19.49,2,0.0
L005,discrete_mathematics,Discrete Mathematics,0.55,0.0,1.0,22.41,3,0.999
L030,computer_architecture,Computer Architecture,0.5,17.0,0.084,12.36,3,0.062
L030,algorithm_design,Algorithm Design,0.5,21.0,0.0,14.72,2,0.0
L006,ml_fundamentals,ML Fundamentals,0.5,18.0,0.105,13.09,2,0.0
L029,ml_fundamentals,ML Fundamentals,0.5,8.0,0.134,17.95,2,0.22
L021,neural_networks,Neural Networks,0.6,11.0,0.233,18.24,2,0.042
L027,computer_networks,Computer Networks,0.55,1.0,0.747,17.29,3,0.683
L030,data_structures,Data Structures,0.4,12.0,0.1,25.83,1,0.1
L037,computer_architecture,Computer Architecture,0.5,3.0,0.23,10.63,4,0.432
L022,operating_systems,Operating Systems,0.6,18.0,0.095,14.91,3,0.016
L003,computer_architecture,Computer Architecture,0.5,5.0,0.192,9.37,1,0.337
